"IATA","ICAO"
ELQ,OEGS
URY,OEGT
HAS,OEHL
JED,OEJN
HBT,OEKK
MED,OEMA
EAM,OENG
AQI,OEPA
RAH,OERF
RUH,OERK
RAE,OERR
SHW,OESH
SLF,OESL
TUU,OETB
TIF,OETF
TUI,OETR
EJH,OEWJ
YNB,OEYN
ABD,OIAA
QMJ,OIAI
MRX,OIAM
AWZ,OIAW
BUZ,OIBB
KIH,OIBK
BDH,OIBL
KSH,OICC
SDG,OICS
IFN,OIFM
RAS,OIGG
THR,OIII
BND,OIKB
KER,OIKK
XBJ,OIMB
RZR,OINR
SYZ,OISS
TBZ,OITT
AZD,OIYY
ACZ,OIZB
ZBR,OIZC
ZAH,OIZH
AMM,OJAI
ADJ,OJAM
AQJ,OJAQ
OMF,OJMF
KWI,OKBK
BEY,OLBA
AUH,OMAA
AZI,OMAD
DXB,OMDB
FJR,OMFJ
RKT,OMRK
SHJ,OMSJ
KHS,OOKB
MSH,OOMA
MCT,OOMS
SLL,OOSA
TTH,OOTH
LYP,OPFA
GWD,OPGD
GIL,OPGT
KHI,OPKC
LHE,OPLA
MFG,OPMF
MJD,OPMJ
MUX,OPMT
WNS,OPNH
PJG,OPPG
PSI,OPPI
PEW,OPPS
UET,OPQT
RYK,OPRK
ISB,OPRN
RAZ,OPRT
SKZ,OPSK
SDT,OPSS
